fecha,equipo,rival,localia,goles_favor,goles_contra,xg_favor,xg_contra
2023-08-12,Arsenal,Nottingham Forest,Local,2,1,2.1,0.5
2023-08-21,Crystal Palace,Arsenal,Visitante,0,1,0.8,1.4
2023-08-26,Arsenal,Fulham,Local,2,2,3.2,0.7
2023-09-03,Arsenal,Manchester United,Local,3,1,2.4,0.9
2023-09-17,Everton,Arsenal,Visitante,0,1,0.3,1.8
2023-09-24,Arsenal,Tottenham,Local,2,2,1.9,1.5
2023-09-30,Bournemouth,Arsenal,Visitante,0,4,0.4,2.6
2023-10-08,Arsenal,Manchester City,Local,1,0,0.9,0.8
2023-08-11,Manchester City,Burnley,Visitante,3,0,2.1,0.3
2023-08-19,Manchester City,Newcastle,Local,1,0,2.2,0.4
2023-08-27,Sheffield United,Manchester City,Visitante,1,2,0.5,2.8
2023-09-02,Manchester City,Fulham,Local,5,1,4.1,0.2
2023-09-16,West Ham,Manchester City,Visitante,1,3,0.9,2.5
2023-09-23,Manchester City,Nottingham Forest,Local,2,0,2.0,0.4
2023-09-30,Wolverhampton,Manchester City,Visitante,2,1,1.1,1.8
2023-10-08,Arsenal,Manchester City,Visitante,0,1,0.8,0.9
